               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.022903,            0.015951,           0.0063789,             0.98287,             0.99579,               0.995,             0.88999,            0.014288,           0.0060311,           0.0047652,            0.006106,            0.006106,            0.006106
                 120,            0.023187,            0.015772,           0.0070039,             0.99061,             0.99444,             0.99498,             0.89039,            0.015851,           0.0069269,           0.0049167,            0.006073,            0.006073,            0.006073
                 121,            0.023717,            0.016236,            0.007778,              0.9897,              0.9975,               0.995,             0.89816,            0.015574,           0.0072395,           0.0048788,             0.00604,             0.00604,             0.00604
                 122,            0.022673,            0.016747,           0.0077359,             0.95009,             0.99406,             0.99469,             0.90109,            0.015869,           0.0073037,           0.0050916,            0.006007,            0.006007,            0.006007
                 123,            0.022869,            0.017028,           0.0068082,             0.96371,             0.98344,             0.99372,             0.88753,            0.014458,           0.0073266,           0.0047725,            0.005974,            0.005974,            0.005974
                 124,            0.022973,            0.016703,            0.006914,             0.96843,             0.98777,             0.99318,             0.89503,            0.014548,           0.0076012,           0.0052154,            0.005941,            0.005941,            0.005941
                 125,            0.021543,            0.015412,           0.0069733,                   1,             0.98506,             0.99413,             0.89017,            0.015462,           0.0075111,           0.0052056,            0.005908,            0.005908,            0.005908
                 126,            0.022286,            0.016695,           0.0076324,             0.99733,             0.99826,               0.995,             0.90747,            0.014262,           0.0068038,           0.0049974,            0.005875,            0.005875,            0.005875
                 127,              0.0231,            0.017143,           0.0081025,             0.99361,             0.99857,             0.99498,             0.89985,            0.014709,           0.0068458,           0.0052038,            0.005842,            0.005842,            0.005842
                 128,             0.02169,            0.015568,           0.0072777,             0.98816,             0.98473,               0.995,             0.91881,            0.014094,           0.0066598,           0.0051059,            0.005809,            0.005809,            0.005809
                 129,            0.022047,            0.016557,           0.0073026,             0.96691,             0.98006,             0.99475,             0.91237,            0.015341,           0.0068431,           0.0054222,            0.005776,            0.005776,            0.005776
                 130,            0.021542,            0.015635,           0.0066384,             0.90291,             0.99309,             0.99295,             0.92735,            0.013215,           0.0064909,           0.0045037,            0.005743,            0.005743,            0.005743
                 131,            0.021413,            0.015633,           0.0071482,             0.89634,              0.9992,             0.99408,             0.91669,             0.01323,            0.006032,           0.0045551,             0.00571,             0.00571,             0.00571
                 132,            0.022186,            0.015866,           0.0075556,             0.94596,             0.95137,             0.99481,             0.91289,             0.01394,           0.0063964,           0.0051832,            0.005677,            0.005677,            0.005677
                 133,            0.022635,            0.015634,           0.0070149,              0.8993,             0.99729,             0.99457,             0.92442,            0.012651,           0.0063953,           0.0047761,            0.005644,            0.005644,            0.005644
                 134,            0.022882,            0.016426,           0.0079499,             0.89423,             0.99349,             0.99297,             0.91505,            0.013136,           0.0073041,           0.0045964,            0.005611,            0.005611,            0.005611
                 135,            0.022253,            0.016692,           0.0079431,             0.89192,             0.99409,             0.99256,             0.90472,            0.012832,           0.0077878,           0.0043569,            0.005578,            0.005578,            0.005578
                 136,            0.021127,            0.016108,           0.0066415,             0.96571,             0.95712,             0.99482,             0.90889,            0.012394,            0.006467,           0.0043172,            0.005545,            0.005545,            0.005545
                 137,            0.020817,            0.015129,           0.0059574,             0.99439,             0.96188,             0.99499,             0.88883,            0.013419,           0.0059403,           0.0043145,            0.005512,            0.005512,            0.005512
                 138,            0.021981,            0.014839,           0.0059388,             0.99474,              0.9744,               0.995,              0.9064,            0.013784,           0.0064451,           0.0044167,            0.005479,            0.005479,            0.005479
                 139,            0.021499,            0.015108,           0.0067818,             0.99304,             0.96398,             0.99493,              0.9041,            0.016109,           0.0062312,           0.0045159,            0.005446,            0.005446,            0.005446
                 140,            0.021615,            0.014842,           0.0061419,             0.89802,             0.99114,             0.99408,             0.90018,             0.01309,           0.0057838,           0.0044332,            0.005413,            0.005413,            0.005413
                 141,            0.021143,            0.014711,           0.0061526,             0.89431,             0.99515,             0.99116,              0.8993,             0.01313,           0.0066078,           0.0046183,             0.00538,             0.00538,             0.00538
